;title_s;authors;year_i;type;id;collected_by;number_authors
0;A Thesaurus and Online Encyclopedia Merging Method for Large Scale Domain-Ontology Automatic Construction.;['Ting Wang', 'Jicheng Song', 'Ruihua Di', 'Yi Liang'];2013;Publication;0;Frank;4
1;Thesaurus of Health Informatics;['MaryEllen C. Sievert', 'David E. Moxley', 'Nancy J. Ogg', 'Timothy B. Patrick'];1998;Publication;1;Frank;4
2;Estimating satisfactoriness of selectional restriction from corpus without a thesaurus.;['Yoichi Tomiura', 'Shosaku Tanaka', 'Toru Hitaka'];2005;Publication;2;Frank;3
3;Recent Model-Based and Model-Related Studies of a Large Scale Lexical Resource Roget's Thesaurus.;['Sally Yeates Sedelow', 'Walter A. Sedelow Jr.'];1992;Publication;3;Frank;2
4;Metaphor, Popular Science and Semantic Tagging: Distant Reading with the Historical Thesaurus of English.;['Marc Alexander', 'Jean Anderson', 'Alistair Baron', 'Fraser Dallachy', 'Christian Kay', 'Scott Piao', 'Paul Rayson'];2014;Publication;4;Frank;7
5;BBTalk: An Online Service for Collaborative and Transparent Thesaurus Curation.;['Christos Georgis', 'George Bruseker', 'Eleni Tsouloucha'];2019;Publication;5;Frank;3
6;Ranking Documents in Thesaurus-Based Boolean Retrieval Systems.;['Joon Ho Lee', 'Myoung-Ho Kim', 'Yoon-Joon Lee'];1994;Publication;6;Frank;3
7;Mathematical Physics Problems: Thesaurus and Ontology.;['Olga Ataeva', 'Vladimir A. Serebryakov', 'Natalia P. Tuchkova'];2019;Publication;7;Frank;3
8;Thesaurus-Based Hierarchical Semantic Grouping of Medical Terms in Information Extraction.;['Yassine Lassoued', 'Léa Amandine Deleris'];2016;Publication;8;Frank;2
9;Projecting corpus based semantic links on a thesaurus;['Emmanuel Morin', 'Chrisitan Jacquemin'];1999;Publication;9;Frank;2
10;Educational thesaurus of power electronics.;['Zoja Raud', 'Valery Vodovozov'];2011;Publication;10;Frank;2
11;The National Cancer Institute's Thésaurus and Ontology.;['Jennifer Golbeck', 'Gilberto Fragoso', 'Frank W. Hartel', 'James A. Hendler', 'Jim Oberthaler', 'Bijan Parsia'];2003;Publication;11;Frank;6
12;A SKOS Radiation Safety Thesaurus for People Living in Contaminated Territories.;['Antonin Segault', 'Federico Tajariol', 'Ioan Roxin'];2015;Publication;12;Frank;3
13;Entwicklung eines wissensbasierten Lernsystems zum Aufbau eines Thesaurus für Information-Retrieval-Systeme;['Gerald Jüttner'];1987;Publication;13;Frank;1
14;Die Thesaurus-Relationen des lernfähigen Information Retrieval Systems TEGEN.;['Frank Sarre', 'Gabriele Felsner', 'Ulrich Güntzer', 'Gerald Jüttner'];1989;Publication;14;Frank;4
15;Building Ontology Base on Thesaurus.;['Xin Xing', 'Ru Li', 'KaiYing Liu'];2009;Publication;15;Frank;3
16;The Chemical Thesaurus 3.1.;['Robert E. Buntrock'];2003;Publication;16;Frank;1
17;Quality Assurance of Concept Roles in the National Cancer Institute thesaurus.;['Ling Zheng', 'Yan Chen', 'Yehoshua Perl', 'Michael Halper', 'James Geller', 'Sherri de Coronado'];2018;Publication;17;Frank;6
18;Keyframe Extraction Using Local Visual Semantics in the Form of a Region Thesaurus.;['Evaggelos Spyrou', 'Yannis Avrithis'];2007;Publication;18;Frank;2
19;Improving Retrieval by a Similarity Thesaurus based on Hyperlink Structure.;['Dirk Kukulenz', 'Klaus-Peter Herget', 'Josef Pauli'];2005;Publication;19;Frank;3
20;Association Thesaurus Construction for Interactive Query Expansion Based on Association Rule Mining.;['Hahn-Ming Lee', 'Chi-Chun Huang', 'Chun-Yen Chao'];2007;Publication;20;Frank;3
21;Constructing IMCS Thesaurus Using ThesWB.;['Yousef Abuzir', 'Fernand Vandamme'];2002;Publication;21;Frank;2
22;Building a Bilingual Representation of the Roget Thesaurus for French to English Machine Translation.;['Violaine Prince', 'Jacques Chauché'];2008;Publication;22;Frank;2
23;A cooccurrence-based thesaurus and two applications to information retrieval;['H. Schütze', 'J.O. Pedersen'];1997;Publication;23;Frank;2
24;Text Relatedness Based on a Word Thesaurus.;['George Tsatsaronis', 'Iraklis Varlamis', 'Michalis Vazirgiannis'];2010;Publication;24;Frank;3
25;Improving Persian Text Classification Using Persian Thesaurus.;['Hamid Parvin', 'Behrouz Minaei-Bidgoli', 'Atousa Dahbashi'];2011;Publication;25;Frank;3
26;A Search Engine for Browsing the Wikipedia Thesaurus;['Kotaro Nakayama', 'Takahiro Hara', 'Shojiro Nishio'];2008;Publication;26;Frank;3
27;Corpus-based Error Detection in a Multilingual Medical Thesaurus.;['Roosewelt L. Andrade', 'Edson José Pacheco', 'Píndaro S. Cancian', 'Percy Nohama', 'Stefan Schulz'];2007;Publication;27;Frank;5
28;A novel semantic level text classification by combining NLP and thesaurus concepts;['R Nagaraj', 'V Thiagarasu', 'P Vijayakumar'];2014;Publication;28;Frank;3
29;Not as Easy as It Seems: Automating the Construction of Lexical Chains Using Roget's Thesaurus.;['Mario Jarmasz', 'Stan Szpakowicz'];2003;Publication;29;Frank;2
30;Organisation eines Thesaurus für die Unterstützung der mehrsprachigen Suche in einer bibliographischen Datenbank im Bereich Planen und Bauen;['Dimitri Busch'];2016;Publication;30;Frank;1
31;The linguistic basis of a mechanical thesaurus.;['M. A. K. Halliday'];1956;Publication;31;Frank;1
32;"Linguistische Aspekte bei der Erarbeitung eines ein- und mehrsprachigen Thesaurus: Dargest an Beispielen d. Fachthesaurus ""Landtechnik""";['Gerhard Brendler'];1971;Publication;32;Frank;1
33;SIS - TMS: A Thesaurus Management System for Distributed Digital Collections.;['Martin Doerr', 'Irini Fundulaki'];1998;Publication;33;Frank;2
34;Exploiting a Thesaurus-Based Semantic Net for Knowledge-Based Search;['Peter Clark', 'John Thompson', 'Heather Holmback', 'Lisbeth Duncan'];2000;Publication;34;Frank;4
35;Integrating Query Performance Prediction in Term Scoring for Diachronic Thesaurus.;['Chaya Liebeskind', 'Ido Dagan'];2015;Publication;35;Frank;2
36;Construction of a Probabilistic Hierarchical Structure Based on a Japanese Corpus and a Japanese Thesaurus.;['Asuka Terai', 'Bin Liu', 'Masanori Nakagawa'];2008;Publication;36;Frank;3
37;A reference model for user-system interaction in thesaurus-based searching.;['Dorothee Blocks', 'Daniel Cunliffe', 'Douglas Tudhope'];2006;Publication;37;Frank;3
38;Thesaurus Based Concept Spaces.;['Peter Schäuble'];1987;Publication;38;Frank;1
39;Quality Assurance of NCI Thesaurus by Mining Structural-Lexical Patterns.;['Rashmie Abeysinghe', 'Michael A. Brooks', 'Jeffery C. Talbert', 'Licong Cui'];2017;Publication;39;Frank;4
40;Automatic thesaurus development: Term extraction from title metadata.;['Jun Wang'];2006;Publication;40;Frank;1
41;Inductive Reasoning Using Thesaurus.;['Yoshitsugu Kakemoto'];1995;Publication;41;Frank;1
42;Augmenting Thesaurus Relationships: Possibilities for Retrieval.;['Douglas Tudhope', 'Harith Alani', 'Christopher B. Jones'];2001;Publication;42;Frank;3
43;A thesaurus for phytoplankton trait-based approaches: Development and applicability.;['Ilaria Rosati', 'Caterina Bergami', 'Elena Stanca', 'Leonilde Roselli', 'Paolo Tagliolato', 'Alessandro Oggioni', 'Nicola Fiore', 'Alessandra Pugnetti', 'Adriana Zingone', 'Angela Boggero', 'Alberto Basset'];2017;Publication;43;Frank;11
44;THESAURUS: Techniques for Underwater Exploration and Archeology through Swarms of Autonomous Vehicles.;['Benedetto Allotta', 'Andrea Caiti', 'Michele Cocco', 'Carlo Colombo', 'Walter Daviddi', 'Lavinio Gualdesi', 'Denise La Monica', 'Davide Moroni', 'Gabriele Pieri', 'Ovidio Salvetti', 'Marco Tampucci'];2011;Publication;44;Frank;11
45;Conceptual Vector Learning - Comparing Bootstrapping from a Thesaurus or Induction by Emergence.;['Mathieu Lafourcade'];2006;Publication;45;Frank;1
46;Interactive thesaurus assessment for automatic document annotation;['Kai Eckert', 'Heiner Stuckenschmidt', 'Magnus Pfeffer'];2007;Publication;46;Frank;3
47;Automatic thesaurus construction for cross generation corpus.;['Hadas Zohar', 'Chaya Liebeskind', 'Jonathan Schler', 'Ido Dagan'];2013;Publication;47;Frank;4
49;From thesaurus to ontology;['B. J. Wielinga', 'A. Th. Schreiber', 'J. Wielemaker', 'J. A. C. Sandberg'];2001;Publication;49;Frank;4
50;Annotation and query of tissue microarray data using the NCI Thesaurus.;['Nigam H. Shah', 'Daniel L. Rubin', 'Inigo Espinosa', 'Kelli Montgomery', 'Mark A. Musen'];2007;Publication;50;Frank;5
51;TheSoz: A SKOS Representation of the Thesaurus for the Social Sciences;['Benjamin Zapilko', 'Johann Schaible', 'Philipp Mayr', 'Brigitte Mathiak'];2012;Publication;51;Frank;4
52;Integrating Query, Thesaurus, and Documents Through a Common Visual Representation.;['Richard H. Fowler', 'Wendy A. Lawrence-Fowler', 'Bradley A. Wilson'];1991;Publication;52;Frank;3
53;Roget's Thesaurus: a Lexical Resource to Treasure;['Mario Jarmasz', 'Stan Szpakowicz'];2012;Publication;53;Frank;2
54;Thesaurus proverbiorum medii aevi;['S. Singer'];2001;Publication;54;Frank;1
55;The calculation of similarities between multi-word strings using a thesaurus.;['Chris D. Paice', 'V. Aragón-Ramírez'];1985;Publication;55;Frank;2
56;A Divergent-Style Learning Support Tool for English Learners Using a Thesaurus Diagram.;['Chie Shimodaira', 'Hiroshi Shimodaira', 'Susumu Kunifuji'];2006;Publication;56;Frank;3
57;Der Einsatz des Standard-Thesaurus Wirtschaft im HWWA. Ein Instrument zur Qualitätssicherung von wirtschaftswissenschaftlichen Fachinformationen.;['M. Gastmeyer'];2000;Publication;57;Frank;1
58;Méthodologie de transformation d'un thesaurus en une ontologie de domaine.;['Claude Chrisment', 'Ollivier Haemmerlé', 'Nathalie Hernandez', 'Josiane Mothe'];2008;Publication;58;Frank;4
59;UK Data Archive Keyword Indexing with a SKOS Version of HASSET Thesaurus.;['Mahmoud El-Haj'];2013;Publication;59;Frank;1
60;Towards a Swedish Roget-Style Thesaurus for NLP.;['Niklas Zechner', 'Lars Borin'];2020;Publication;60;Frank;2
61;Query Expansion using an Automatically Constructed Thesaurus.;['Hidetsugu Nanba'];2007;Publication;61;Frank;1
62;Construction of a Fuzzy Multilingual Thesaurus and Its Application to Cross-Lingual Text Retrieval.;['Rowena Chau', 'Chung-Hsing Yeh'];2001;Publication;62;Frank;2
63;Thesaurus;['D.J. Foskett'];1997;Publication;63;Frank;1
64;Architecting a Cross-Disciplinary Thesaurus for the Semantic Web.;['W. Davenport Robertson', 'Jane Greenberg'];2004;Publication;64;Frank;2
65;Cross-Language High Similarity Search Using a Conceptual Thesaurus.;['Parth Gupta', 'Alberto Barrón-Cedeño', 'Paolo Rosso'];2012;Publication;65;Frank;3
66;Thésaurus pour la Sécurité Radiologique à partir d'un corpus de textes et d'outils linguistiques en ligne.;['Olena Goncharova-Orobinska', 'Jean-Hugues Chauchat', 'Natalya Sharonova'];2017;Publication;66;Frank;3
67;Hazardous Document Detection Based on Dependency Relations and Thesaurus.;['Kazushi Ikeda', 'Tadashi Yanagihara', 'Gen Hattori', 'Kazunori Matsumoto', 'Yasuhiro Takishima'];2010;Publication;67;Frank;5
